research_issue,research_domain,relationship,shipped_issue_keys,note
property-maintenance,housing-land-use-community-development,partial-overlap,housing-land-use.building-codes;housing-land-use.tenant-and-landlord-rules,"Habitability/maintenance overlaps these, but leases, deposits and eviction are not merely property maintenance."
business-attraction-and-incentives,economic-development-business-regulation,equivalent-topic,business-commerce.development-incentives,Equivalent attraction/retention incentive topic.
occupational-licensing,economic-development-business-regulation,equivalent-topic,business-commerce.occupational-licensing,Equivalent topic.
professional-scope,economic-development-business-regulation,partial-overlap,business-commerce.occupational-licensing,Permission to enter a profession and permitted work within it differ. No explicit scope-of-practice row; do not claim a complete synonym.
small-business-and-commerce,economic-development-business-regulation,research-umbrella,business-commerce.business-permits;business-commerce.corporate-regulation,Operating permits and formation/reporting/governance remain distinguishable.
tourism,economic-development-business-regulation,equivalent-topic,business-commerce.tourism,Equivalent topic.
regulated-markets,economic-development-business-regulation,research-specialization,business-commerce.alcohol-cannabis-gaming,Existing special-market key covers these named markets only; research label is not a blanket adapter for every regulated market.
minimum-wage-and-hours,labor-employment-pensions,research-umbrella,labor-workforce.minimum-wage;labor-workforce.workplace-standards,Pay floor and hours/scheduling have separate units and effects.
leave-and-workplace-standards,labor-employment-pensions,research-umbrella,labor-workforce.leave-policy;labor-workforce.workplace-standards,Leave and safety/classification/hours remain distinguishable; shared standards key is not a duplicate.
unemployment-insurance,labor-employment-pensions,equivalent-topic,labor-workforce.unemployment-insurance,"Equivalent topic, not an unemployment-rate variable."
workers-compensation,labor-employment-pensions,equivalent-topic,labor-workforce.workers-compensation,Equivalent topic.
collective-bargaining,labor-employment-pensions,equivalent-topic,labor-workforce.collective-bargaining,Equivalent topic.
public-employment,labor-employment-pensions,equivalent-topic,labor-workforce.public-employment,Equivalent employer topic; not automatically civil-service adjudication or pension funding.
utility-rates-and-grid-reliability,energy-environment-natural-resources,partial-overlap,transportation-infrastructure.utility-regulation;environment-energy.energy-generation-and-grid,"Utility rates/obligations include electricity, gas and water; grid operation is a specific connected system."
generation-and-energy-mix,energy-environment-natural-resources,research-specialization,environment-energy.energy-generation-and-grid,Generation/mix is narrower than all grid infrastructure and transmission.
water-resources,energy-environment-natural-resources,research-specialization,agriculture-natural-resources.water-allocation,"Allocation of rights overlaps water resources; water quality, utility service and infrastructure remain separate."
air-and-water-pollution,energy-environment-natural-resources,research-umbrella,environment-energy.air-quality;environment-energy.water-quality;environment-energy.contaminated-sites,Pollution media and site cleanup are distinct; retain liability and land remediation from the site issue.
waste-and-recycling,energy-environment-natural-resources,equivalent-topic,environment-energy.waste-and-recycling,Equivalent topic.
climate-and-disaster-resilience,energy-environment-natural-resources,research-umbrella,environment-energy.climate-resilience;environment-energy.disaster-mitigation,Adaptation/preparation is not mitigation of greenhouse-gas emissions; preserve the separate emissions issue.
parks-lands-wildlife-and-forestry,energy-environment-natural-resources,research-umbrella,environment-energy.conservation;agriculture-natural-resources.fisheries-and-wildlife;agriculture-natural-resources.public-lands;agriculture-natural-resources.forestry,"Ecological stewardship umbrella; commercial forestry, fishing rules and recreation retain their narrower identities."
election-administration,elections-democracy-ethics,equivalent-topic,government-operations.election-administration,"Topic map only, not real voter guidance or an eligibility change."
voting-rules-and-access,elections-democracy-ethics,research-specialization,government-operations.election-rules,Voting rules are one part; preserve candidacy and campaign-finance meaning in the broader existing key.
redistricting,elections-democracy-ethics,equivalent-topic,government-operations.redistricting,Equivalent topic; no new geography or boundaries supplied.
campaign-finance,elections-democracy-ethics,research-specialization,government-operations.election-rules,Current broader description includes campaign finance. Do not equate financing with voting eligibility.
ethics-and-lobbying,elections-democracy-ethics,research-umbrella,government-operations.ethics-and-disclosure;government-operations.lobbying-regulation,Two related but different enforcement/registration topics.
open-records-and-open-meetings,elections-democracy-ethics,equivalent-topic,government-operations.open-meetings-and-records,Equivalent topic.
local-government-structure,elections-democracy-ethics,partial-overlap,government-operations.state-local-powers;government-operations.agency-organization,"Power allocation and administrative structure overlap, but neither key alone enumerates all local government forms or selection rules."
artificial-intelligence,technology-communications-cybersecurity,equivalent-topic,technology-privacy.artificial-intelligence,Equivalent topic.
privacy-and-data-governance,technology-communications-cybersecurity,equivalent-topic,technology-privacy.privacy-and-data-use,Equivalent topic.
government-cybersecurity,technology-communications-cybersecurity,equivalent-topic,technology-privacy.cybersecurity,Equivalent public-system security topic; no operational attack details.
broadband-and-digital-access,technology-communications-cybersecurity,research-specialization,transportation-infrastructure.broadband,Network/service access overlaps; do not treat it as all platform regulation or telecommunications law.
government-technology-and-digital-services,technology-communications-cybersecurity,equivalent-topic,technology-privacy.digital-government,Equivalent topic.
agriculture-and-farm-policy,agriculture-rural-food,research-umbrella,agriculture-natural-resources.farming-and-ranching;agriculture-natural-resources.agricultural-markets,Production/support and markets/contracts/prices remain separate.
food-systems-and-safety,agriculture-rural-food,partial-overlap,agriculture-natural-resources.food-safety;agriculture-natural-resources.agricultural-markets,Safety is not all food production/distribution; keep the actual operation explicit.
rural-development,agriculture-rural-food,equivalent-topic,agriculture-natural-resources.rural-development,Equivalent topic.
forestry-and-working-lands,agriculture-rural-food,research-specialization,agriculture-natural-resources.forestry,Productive forestry emphasis; preserve forest health/fire management too.
conservation,agriculture-rural-food,partial-overlap,agriculture-natural-resources.farming-and-ranching;environment-energy.conservation,Research row expressly means agricultural practices; broad habitat/easement conservation does not automatically specify farm programs.
family-law-and-child-support,civil-family-consumer,equivalent-topic,civil-family-community.family-law,Equivalent family-law umbrella; exact rights/duties still need relevant rules.
civil-rights-and-discrimination,civil-family-consumer,equivalent-topic,civil-family-community.civil-rights-and-discrimination,Equivalent topic.
reproductive-health,civil-family-consumer,research-specialization,civil-family-community.reproductive-policy,"Research definition is rights/access/family-law emphasis, not equivalent to all clinical maternal care."
immigration-related,civil-family-consumer,no-explicit-counterpart,,No explicit immigration-related issue among the 127. Federal immigration/naturalization is distinct from supported state/local services and civil policy.
insurance-and-financial-consumer,civil-family-consumer,partial-overlap,business-commerce.consumer-protection;business-commerce.insurance-regulation;business-commerce.banking-and-credit,Consumer-facing slice of broader market/solvency/chartering and lending rules; do not absorb those broader functions.
general,civil-family-consumer,underspecified,,The returned label and description identify no substantive operation. Do not use as a catch-all to claim unmatched shipped subjects are covered.
parks-and-recreation,parks-culture-community-life,equivalent-topic,civil-family-community.parks-and-recreation,Equivalent topic; not all public-land stewardship.
libraries,parks-culture-community-life,equivalent-topic,civil-family-community.libraries,Equivalent topic.
arts-and-cultural-services,parks-culture-community-life,research-specialization,civil-family-community.arts-and-culture,Cultural-service slice; preserve historic preservation included in the existing broader description.
historic-preservation,parks-culture-community-life,research-specialization,civil-family-community.arts-and-culture,Explicitly present in existing arts-and-culture description; not missing merely for lack of separate key.
community-events-and-public-space,parks-culture-community-life,partial-overlap,civil-family-community.community-institutions;civil-family-community.parks-and-recreation;transportation-infrastructure.public-facilities,"Events, spaces, facilities and institutions overlap but do not make every public facility a social event."
insurance-market-regulation,economic-development-business-regulation,equivalent-topic,business-commerce.insurance-regulation,Equivalent market-regulation topic; preserve separate health-coverage subjects.
banking-and-credit-regulation,economic-development-business-regulation,equivalent-topic,business-commerce.banking-and-credit,"Equivalent state-market topic, not monetary policy."
veterans-services,health-human-services,equivalent-topic,civil-family-community.veterans,Equivalent subject moved to a health/services research grouping; same identity should survive.
child-care-access,health-human-services,research-specialization,education.early-childhood,Existing description explicitly includes access/providers/funding of child care; appears in a second research grouping without duplicate service demand.
intergovernmental-powers-and-preemption,elections-democracy-ethics,research-umbrella,government-operations.state-local-powers;housing-land-use.state-housing-preemption,General power allocation and its explicit housing specialization remain separate; no declaration that a concrete policy is preempted.
