branch	last_commit	commits_not_on_main	commits_behind_main	files_changed	changed_files_still_differing_from_main	src_files_still_differing	pull_requests	merges_cleanly_into_main	last_commit_subject
codex/playtest34-life	2026-09-14	13	3633	50	26	20	#247 closed/unmerged; 	no	docs(life): bank assembled game and favor regression receipts
cursor/playtest34-c-quiet-sketch-1498	2026-09-14	13	3626	32	32	24	#245 closed/unmerged; 	no	Gate Talk on openConversationWith, not opening-scene presence
codex/rest37-n	2026-09-14	11	3626	67	51	26	#249 closed/unmerged; 	no	Complete REST37-N recovery and supported legislative term continuity
cursor/p29-c-talk-focus-layout-a942	2026-09-13	6	3734	21	18	15	#231 closed/unmerged; 	no	Let the invoker focus helper finish after conversation unmount.
codex/desktop-p29-safety-package	2026-09-13	3	3674	9	7	0	none	no	Keep native prepared blob requests within packaged smoke origin
codex/d33-desktop-compatible-update	2026-09-13	2	3650	20	20	0	#242 closed/unmerged; 	no	Guard source-bound last-good activation rollback and owned cancellation
codex/systems30-t-service	2026-09-13	1	3657	7	7	5	none	no	feat(transit): record staged authorized contract service and cancellation
codex/a-playable29-c-receiver	2026-09-13	15	3658	33	29	15	#236 closed/unmerged; 	no	test: adapt archive declaration and explicit Node URL import
cursor/weekend19-modular-people-bdc5	2026-09-12	6	4046	59	49	19	#206 closed/unmerged; 	no	WEEKEND19 B: fill the none-impact release declaration
cursor/people-web17-cbae	2026-09-12	5	3994	19	17	10	#191 closed/unmerged; 	no	Refresh People web prose corpus artifacts
cursor/weekend19-c-scene-presence-0de6	2026-09-12	5	3880	34	33	13	#202 closed/unmerged; 	no	Pin the quiet-stretch life so six recaps are not one unlucky year.
claude/ui-composition-continuation-i99p41	2026-09-12	4	4109	4	4	0	#188 closed/unmerged; 	no	Format launcher documentation
cursor/ordinary-work-routine-646a	2026-09-12	4	4106	22	19	10	#205 closed/unmerged; 	no	Keep multi-day ordinary skips on the date-level clock.
claude/modular-gen14-wardrobe-requirements	2026-09-12	4	4046	43	35	12	#183 closed/unmerged; 	no	Version-safe coherent appearances for new lives
cursor/weekend19-ui-land-8edd	2026-09-12	3	3883	18	18	5	#200 closed/unmerged; 	no	fix(ui): walk Continue through the household gate after reload
codex/recovery25-news	2026-09-12	2	3862	24	14	8	#215 closed/unmerged; 	no	Declare News following release impact
codex/recovery25-brand	2026-09-12	2	3856	48	48	0	none	no	Add ten-direction RECOVERY25 brand contact sheet
cursor/creator-hometown-facts-7eb0	2026-09-12	28	4109	32	23	6	#192 closed/unmerged; 	no	Give the three cold-boot Playwright walk the time three hometown choices take.
cursor/creator-place-summary-7eb0	2026-09-12	20	4109	22	21	6	#176 closed/unmerged; 	no	Give the three cold-boot Playwright walk the time three hometown choices take.
cursor/education-weekend19-f-11ed	2026-09-12	1	3883	15	14	11	#204 closed/unmerged; 	no	WEEKEND19-F: period-based study progression and compact education UI
cursor/creator-location-7eb0	2026-09-12	11	4109	18	18	5	#173 closed/unmerged; 	no	Give the three cold-boot Playwright walk the time three hometown choices take.
codex/morning23-b	2026-09-12	10	4046	75	59	23	none	no	Prove distinct old appearance identities through the Personal route
cursor/life-content13-d3f1	2026-09-11	8	4048	39	30	9	#165 closed/unmerged; 	no	Type the superseded work status in the supervisor-left control
claude/pt3-prose-school-scene	2026-09-11	6	3896	30	29	10	#198 closed/unmerged; 	no	Read the corridor scene off the screen, and close one more appositive
cursor/creator-place-demography-7eb0	2026-09-11	11	4190	25	23	8	#182 closed/unmerged; 	no	Search in-state hometowns by town name in the creator walk.
codex/opening-life1	2026-09-11	10	4215	128	123	38	#150 closed/unmerged; 	no	Reconcile onto main 5d48005b using UI144's already-correct anchor union
claude/desktop-client1-electron	2026-09-09	7	4336	18	14	0	#156 closed/unmerged; 	no	Name the built revision, not the synthetic merge SHA, in the checksum manifest
codex/news-help2-n1-land	2026-09-09	1	4474	6	6	2	none	no	Regenerate N-1 donor corpus evidence
codex/life-pay-return7	2026-09-09	1	4389	4	2	2	none	no	fix(life): track earned pay before spending on study
claude/ui-prototype-01-build-iepvtr	2026-09-08	3	4527	62	62	12	#133 closed/unmerged; 	no	Give the pin rail a lane the workspace actually reserves
codex/s5-d2-raster-decode	2026-09-08	1	4570	19	17	2	#130 closed/unmerged; 	no	Fix initial raster paint readiness through decoded tier state
claude/legislative-rule-packs-wave-md-mo-nv-oh	2026-09-06	2	4703	10	8	6	#110 closed/unmerged; 	no	Compile Maryland, Missouri, Nevada and Ohio from their own constitutions
triage-prs-98-100-101-3173115192154108533	2026-09-06	1	4733	0	0	0	#106 closed/unmerged; 	yes	Audit PRs #98, #100, #101 as stale-institutional-branch triage
claude/overnight-narrative-audit-harness	2026-09-05	7	4778	22	22	3	#92 closed/unmerged; 	no	Add future-system content contracts (college, legislative, meeting-people)
claude/new-session-o81wac	2026-09-05	1	4768	5	4	0	#93 closed/unmerged; 	no	docs: add root CLAUDE.md bridge and drop stale active handoff
claude/municipal-governance-source-80fo19	2026-09-05	1	4755	8	8	5	#98 closed/unmerged; 	no	Add municipal-governance source domain with Kentucky pilot packs
claude/judicial-office-selection-domain-haboml	2026-09-05	1	4745	8	8	5	#100 closed/unmerged; 	no	Model how judicial offices are constituted and filled, five ways
claude/graphics-production-convergence	2026-09-03	8	4873	224	122	58	#80 closed/unmerged; 	no	Bring the browser proofs onto the geometry the scene now owns
jules-7611472923501370191-6f1571b2	2026-09-03	4	4873	2	2	0	#76 closed/unmerged; 	yes	style(art): format scene consumer audit docs with prettier
jules-task-1-adapter-contract-4910609626682375996	2026-09-03	1	4873	0	0	0	#75 closed/unmerged; 	yes	docs: return 38A_JULES_START_ANYWHERE_ADAPTER_CONTRACT
claude/pennywise-political-adaptive-adult-hpzas9	2026-09-03	1	4857	33	31	25	#81 closed/unmerged; 	no	Notice what a player cares about, then put it in tension
claude/asset-factory-scene-authoring-pipeline	2026-09-02	5	4873	119	70	43	#74 closed/unmerged; 	no	fix(ci): let the ownership boundary see the base it measures against
claude/scene-person-presentation-foundation-r5aqaw	2026-09-02	3	4873	81	43	26	#63 closed/unmerged; 	no	Update the browser proofs the new contracts changed
jules-16285362182329726769-335c716c	2026-09-02	2	4877	50	50	12	#50 closed/unmerged; 	no	feat(government-universe): authoritative U.S. government universe source compiler
claude/political-game-packet-06-8nec2w	2026-09-02	2	4877	43	43	0	#59 closed/unmerged; 	yes	Format the packet-06 evidence README to the repo's Prettier style
feat/legislative-corpus-convergence-6535685490914964281	2026-09-02	2	4877	36	36	11	#51 closed/unmerged; 	no	feat(legislative-corpus): reconstruct national state legislative source corpus
feat/census-counties-corpus-16266584050237731158	2026-09-02	2	4873	6	6	0	#64 closed/unmerged; 	no	fix(counties): ensure compiled counties JSON passes prettier validation
feat/packet-8-bls-laus-unemployment-4205215400396496363	2026-09-02	2	4873	21	21	7	#73 closed/unmerged; 	yes	style: format files with prettier for BLS LAUS local unemployment sidecar
feat/census-political-districts-corpus-12995297226105601621	2026-09-02	2	4873	17	17	2	#67 closed/unmerged; 	no	Add official Census political districts geography corpus
data/places-corpus-8139583137381051681-1716933473507468278	2026-09-02	1	4877	69	69	17	#58 closed/unmerged; 	no	fix(places): repair Census Gazetteer parser to strictly enforce 13 pipe-delimited fields
jules-4382064995407287490-f23614b6	2026-09-02	1	4877	4	4	2	#54 closed/unmerged; 	no	feat(environment): implement source provenance foundation
feat/govt-finance-employment-compiler-2529405358459074224	2026-09-02	1	4877	41	41	11	#56 closed/unmerged; 	no	feat: State & Local Government Finance & Employment Compiler
feat/govt-finance-employment-compiler-12858527436512296367	2026-09-02	1	4877	41	41	11	#49 closed/unmerged; 	no	feat: State & Local Government Finance & Employment Compiler
jules-7203116766480521692-6a19886b	2026-09-02	1	4877	36	36	11	#57 closed/unmerged; 	no	feat(legislative-corpus): reconstruct national state legislative source corpus
feat/federal-legislative-source-convergence-10935712491444835894	2026-09-02	1	4877	33	33	9	#52 closed/unmerged; 	no	feat(federal-legislative): converge federal legislative source corpus
acs-community-baselines-repair-8418532857446481688	2026-09-02	1	4877	21	21	8	#55 closed/unmerged; 	no	feat(community): ACS 5-Year demographic baselines
clean-reconstruct-real-places-corpus-18310155812805986723	2026-09-02	1	4873	8	8	0	#61 closed/unmerged; 	no	feat(places): cleanly reconstruct national real-place identity corpus
packet-5-state-office-qualifications-1698931409353824555	2026-09-02	1	4873	63	63	3	#72 closed/unmerged; 	no	feat: build official 50-state state-office qualifications corpus
claude/political-game-packet-13-v32kod	2026-09-02	1	4873	184	184	76	#62 closed/unmerged; 	no	Converge the source substrate onto one current authority
jules-packet24-fema-disasters-sidecar-5206530175674568766	2026-09-02	1	4873	15	15	2	#66 closed/unmerged; 	no	feat(fema): add official FEMA disaster declarations sidecar
jules-packet-11-federal-courts-17039209585925622885	2026-09-02	1	4873	14	14	4	#70 closed/unmerged; 	no	feat(judiciary): add U.S. federal courts & judicial geography corpus
jules-15379131903615759755-de659606	2026-09-02	1	4873	13	13	4	#69 closed/unmerged; 	no	feat(bea): implement BEA regional economy corpus sidecar
packet-9-hud-housing-costs-11100219821954862044	2026-09-02	1	4873	12	12	2	#71 closed/unmerged; 	no	feat(hud): implement Official HUD Housing Costs Reference Corpus
fec-candidate-committee-corpus-3675631687742168871	2026-09-02	1	4873	10	10	4	#68 closed/unmerged; 	no	feat(fec): add FEC candidate, committee, and linkage corpus sidecar
jules-9719983768725229066-d2c9b4fe	2026-09-02	1	4873	10	10	4	#65 closed/unmerged; 	no	feat(acs_pums): implement true Census ACS PUMS acquisition and compiler substrate
claude/real-modular-character-integration	2026-09-01	1	4877	109	85	9	#48 closed/unmerged; 	no	feat(art): real modular asset intake, ordinary office seam, seated-contact repair
codex/first-session-foundation-recovery	2026-08-30	5	4881	62	61	27	#43 closed/unmerged; 	no	fix: preserve unknown life-start geography
jules-7785690768425126201-45459a80	2026-08-30	3	4881	9	9	4	#35 closed/unmerged; 	no	Correct education corpus source semantics, geography, and browser boundary
jules-833021817180219107-89979496	2026-08-30	3	4881	8	8	6	#36 closed/unmerged; 	no	Reclassify household calibration baseline tables as synthetic data with strict empirical provenance checks
jules-8965177082119433666-20144e7b	2026-08-30	3	4881	5	5	5	#37 closed/unmerged; 	yes	fix(event_sources): relocate event source layer and remove unsourced rules
source-provenance-foundation-10356201529358659144-4542988410178507111	2026-08-30	3	4881	4	4	2	#44 closed/unmerged; 	no	Restore tests/art-asset-factory.test.ts to PR base behavior
jules-833021817180219107-89979496-1676803128226538551	2026-08-30	3	4881	16	16	9	#45 closed/unmerged; 	yes	fix: Truthfulness repair enforcing explicit null for unknown metrics
data/places-corpus-8139583137381051681	2026-08-30	2	4881	7	7	0	#42 closed/unmerged; 	no	feat: Add isolated real-place identity corpus using 2025 Census Gazetteer
jules-jurisdiction-profile-foundation-11250260829384046838	2026-08-30	1	4881	9	9	6	#41 closed/unmerged; 	no	Add national jurisdiction-profile schema, validator, and synthetic fixtures
source-provenance-foundation-10356201529358659144	2026-08-30	1	4881	4	4	2	#39 closed/unmerged; 	no	Build isolated source-provenance validation foundation
antigravity/national-occupation-career-corpus-12758226241697723722	2026-08-30	1	4881	19	19	8	#40 closed/unmerged; 	no	feat(occupation-corpus): implement national occupation / career source corpus
jules-17447524454774165562-855ee0c7	2026-08-30	1	4881	12	12	10	#38 closed/unmerged; 	yes	feat(event-sources): add national crisis and external event routing foundation
antigravity/political-geography-2026	2026-08-29	2	4881	51	51	8	#29 closed/unmerged; 	no	feat(geography): ingest authoritative Census TIGER/Line geometries and publish exhaustive provenance audit
antigravity/us-government-universe	2026-08-29	2	4881	51	51	12	#31 closed/unmerged; 	no	fix(government-universe): correct 2022 Census baseline counts from authoritative Census organization tables
antigravity/fec-campaign-finance-corpus	2026-08-29	2	4881	33	33	11	#23 closed/unmerged; 	no	fix(campaign-finance): enforce source vs synthetic calibration segregation, establish exact candidate counts, and add synthetic test fixtures
antigravity/federal-legislative-corpus	2026-08-29	2	4881	32	32	9	#27 closed/unmerged; 	no	fix(federal-legislative): treat failed procedural motions as non-terminal action outcomes
antigravity/housing-affordability-corpus	2026-08-29	2	4881	32	32	11	#24 closed/unmerged; 	no	fix(housing): rebuild FY23/FY24 FMR and Income Limits from authoritative published HUD USER source files
antigravity/noaa-storm-events-corpus	2026-08-29	2	4881	31	31	11	#25 closed/unmerged; 	no	fix(storm-corpus): restore dev:identified script, preserve 1992/1993 NOAA collection boundary, and add regression proofs
antigravity/national-names-v2-compiler	2026-08-29	1	4881	70	70	0	#32 closed/unmerged; 	no	feat(names): implement national names v2 deterministic compiler and dataset pack
antigravity/election-administration-data	2026-08-29	1	4881	44	44	11	#26 closed/unmerged; 	no	feat(election-admin): implement election administration and participation source compiler
antigravity/government-finance-employment-corpus	2026-08-29	1	4881	42	42	11	#33 closed/unmerged; 	no	feat: implement state and local government finance & employment source compiler
antigravity/local-economy-labor-data	2026-08-29	1	4881	34	34	13	#28 closed/unmerged; 	no	feat(local-economy): implement local economy and labor-market source compiler, BEA/QCEW adapters, and calibration engine
codex/lexington-mvp-slice-e-campaign-election	2026-08-29	1	4881	30	29	13	#34 closed/unmerged; 	no	feat: add playable Slice E campaign loop
antigravity/acs-community-baselines	2026-08-29	1	4881	20	20	8	#30 closed/unmerged; 	no	feat(community): national community / demographic baseline compiler (ACS 5-Year)
antigravity/national-legislative-source-corpus	2026-08-28	2	4881	37	37	11	#22 closed/unmerged; 	no	style(legislative-corpus): apply consistent prettier and eslint imports
jules-report/pr13-convergence-preflight-3761931540857216473	2026-08-28	1	4894	1	1	0	#17 closed/unmerged; 	yes	[JULES-REPORT] PR13 convergence preflight
codex/stage-6-5-visual-integration	2026-08-27	6	4901	54	41	10	#13 closed/unmerged; 	no	fix(stage-6-5): converge visual integration, decouple persona recipes, refine desk affordances, and capture native evidence
draft-character-asset-architecture-13231716856999615970	2026-08-27	4	4930	46	43	20	#7 closed/unmerged; 	no	feat(character-assets): implement isolated character asset deterministic resolution
repo-safety-9868664158950794112	2026-08-27	3	4939	67	42	15	#4 closed/unmerged; 	no	feat(repo-safety): add safety and reproducibility checks
feature/environment-scene-spec-v2-12164851251524904142	2026-08-26	4	4939	26	4	2	#3 closed/unmerged; 	no	feat(environment): implement strict runtime checking, serialization round-trips, and generic referential integrity
analysis-run-c-18108677848502541919	2026-08-26	1	4930	0	0	0	#8 closed/unmerged; 	yes	docs: run C analysis
