semantic_id,domain,bank,stable_key,field,surface,reachability,reachability_reason,realization,slots,source_path,source_symbol,grounding,text
prose:conversation:commit-contract:COMMIT_CONTRACTS-0003#text,conversation,commit-contract,COMMIT_CONTRACTS-0003,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,A conversation at home about who carries the week.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0004#text,conversation,commit-contract,COMMIT_CONTRACTS-0004,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,A conversation between neighbours about a meeting that has been posted.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0005#text,conversation,commit-contract,COMMIT_CONTRACTS-0005,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,A conversation over the wording of a legislative draft.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0006#text,conversation,commit-contract,COMMIT_CONTRACTS-0006,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,"A doorstep, on the way past"
prose:conversation:commit-contract:COMMIT_CONTRACTS-0007#text,conversation,commit-contract,COMMIT_CONTRACTS-0007,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,"A legislative office, during briefing work"
prose:conversation:commit-contract:COMMIT_CONTRACTS-0008#text,conversation,commit-contract,COMMIT_CONTRACTS-0008,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,"A legislative office, over a working draft"
prose:conversation:commit-contract:COMMIT_CONTRACTS-0009#text,conversation,commit-contract,COMMIT_CONTRACTS-0009,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,Agree who does which part before the work is due rather than after.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0010#text,conversation,commit-contract,COMMIT_CONTRACTS-0010,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,Clarify legal working language and staff projection without treating either as enacted policy.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0011#text,conversation,commit-contract,COMMIT_CONTRACTS-0011,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,Clarify the next step on the casework without turning the exchange into a score check.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0012#text,conversation,commit-contract,COMMIT_CONTRACTS-0012,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,"School, between classes"
prose:conversation:commit-contract:COMMIT_CONTRACTS-0013#text,conversation,commit-contract,COMMIT_CONTRACTS-0013,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,"Settle who carries the week, so it does not end up carried by whoever notices last."
prose:conversation:commit-contract:COMMIT_CONTRACTS-0014#text,conversation,commit-contract,COMMIT_CONTRACTS-0014,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The afternoon briefing creates pressure for a clear next step.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0015#text,conversation,commit-contract,COMMIT_CONTRACTS-0015,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The meeting happens on its posted evening whether or not anybody goes.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0016#text,conversation,commit-contract,COMMIT_CONTRACTS-0016,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The office needs a clear working version while legal text and projected consequences remain distinct.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0017#text,conversation,commit-contract,COMMIT_CONTRACTS-0017,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player asked for a concrete checklist or verification commitment.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0018#text,conversation,commit-contract,COMMIT_CONTRACTS-0018,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player asked for an immediate answer.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0019#text,conversation,commit-contract,COMMIT_CONTRACTS-0019,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player asked for the project to be split more evenly.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0020#text,conversation,commit-contract,COMMIT_CONTRACTS-0020,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",templated,addresseeName,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player asked to split the week with {addresseeName}.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0021#text,conversation,commit-contract,COMMIT_CONTRACTS-0021,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",templated,addresseeName,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player asked {addresseeName} to go to the meeting instead.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0022#text,conversation,commit-contract,COMMIT_CONTRACTS-0022,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",templated,addresseeName,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player asked {addresseeName} to take the week this time.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0023#text,conversation,commit-contract,COMMIT_CONTRACTS-0023,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",templated,"named(""briefing-lead"")",src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,"The player asked {named(""briefing-lead"")} to interpret the selected working provision and compare its prepared alternative."
prose:conversation:commit-contract:COMMIT_CONTRACTS-0024#text,conversation,commit-contract,COMMIT_CONTRACTS-0024,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",templated,addresseeName,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player brought up the week's errands with {addresseeName}.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0025#text,conversation,commit-contract,COMMIT_CONTRACTS-0025,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player kept the checklist recommendation narrow and evidence-led.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0026#text,conversation,commit-contract,COMMIT_CONTRACTS-0026,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player left the question of who carries the week unanswered.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0027#text,conversation,commit-contract,COMMIT_CONTRACTS-0027,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player left the question of who does which part unanswered.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0028#text,conversation,commit-contract,COMMIT_CONTRACTS-0028,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player listened for the next relevant contribution.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0029#text,conversation,commit-contract,COMMIT_CONTRACTS-0029,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player listened while the provision was talked through.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0030#text,conversation,commit-contract,COMMIT_CONTRACTS-0030,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",templated,addresseeName,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player mentioned the posted meeting to {addresseeName}.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0031#text,conversation,commit-contract,COMMIT_CONTRACTS-0031,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player offered to cover the week themselves.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0032#text,conversation,commit-contract,COMMIT_CONTRACTS-0032,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player offered to take on more of the project.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0033#text,conversation,commit-contract,COMMIT_CONTRACTS-0033,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player pressed for an answer on the checklist or last case.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0034#text,conversation,commit-contract,COMMIT_CONTRACTS-0034,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",templated,addresseeName,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player raised how the project was being divided with {addresseeName}.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0035#text,conversation,commit-contract,COMMIT_CONTRACTS-0035,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player said nothing about whether anybody would go.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0036#text,conversation,commit-contract,COMMIT_CONTRACTS-0036,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The player said they would go to the meeting.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0037#text,conversation,commit-contract,COMMIT_CONTRACTS-0037,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The split has to be agreed while there is still time to do the work.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0038#text,conversation,commit-contract,COMMIT_CONTRACTS-0038,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,The week starts whether or not anybody has said who is doing it.
prose:conversation:commit-contract:COMMIT_CONTRACTS-0039#text,conversation,commit-contract,COMMIT_CONTRACTS-0039,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,"Work out whether either of them is going, while the meeting is still ahead of them."
prose:conversation:commit-contract:COMMIT_CONTRACTS-0040#text,conversation,commit-contract,COMMIT_CONTRACTS-0040,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,household obligation
prose:conversation:commit-contract:COMMIT_CONTRACTS-0041#text,conversation,commit-contract,COMMIT_CONTRACTS-0041,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,neighborhood meeting notice
prose:conversation:commit-contract:COMMIT_CONTRACTS-0042#text,conversation,commit-contract,COMMIT_CONTRACTS-0042,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,school project share
prose:conversation:commit-contract:COMMIT_CONTRACTS-0043#text,conversation,commit-contract,COMMIT_CONTRACTS-0043,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,shared intake checklist
prose:conversation:commit-contract:COMMIT_CONTRACTS-0044#text,conversation,commit-contract,COMMIT_CONTRACTS-0044,text,artifact,DEV_FIXTURE_ONLY,"Canonical-record text. A conversation turn writes these into event context (setting, socialContext, motivation, pressure, choice); the only surface that renders them is EventHistory, which DeveloperViewer mounts and App.tsx shows only for `?view=developer`. Ordinary play never opens it.",static,,src/presentation/conversation-subjects.ts,COMMIT_CONTRACTS,conversation-turn,the neighborhood meeting you said you would go to
