state	office_family	fact_field	status	value	authority_type	legal_locator	effective_date	direct_derived	review_required	authority_url	paraphrase
MI	GOVERNOR	Minimum Age	KNOWN	30 years	CONSTITUTION	Mich. Const. art. V, § 22	1964-01-01	DIRECT	false	https://www.legislature.mi.gov/documents/mcl/pdf/mcl-chap1.pdf	Must have attained the age of 30 years.
MI	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Mich. Const. 1963, art. V, § 1	1964-01-01	DIRECT	false	https://www.legislature.mi.gov/documents/mcl/pdf/mcl-chap1.pdf	Executive power vested in the Governor.
MI	GOVERNOR	State Residence Duration	KNOWN	4 years	CONSTITUTION	Mich. Const. art. V, § 22	1964-01-01	DIRECT	false	https://www.legislature.mi.gov/documents/mcl/pdf/mcl-chap1.pdf	Registered elector in this state for four years next preceding election.
MI	GOVERNOR	Term Limit Rule	KNOWN	2_TERMS_LIFETIME	CONSTITUTION	Mich. Const. art. V, § 30	1993-01-01	DIRECT	false	https://www.legislature.mi.gov/documents/mcl/pdf/mcl-chap1.pdf	No person shall be elected more than two times to the office of governor. Succeeded >1/2 term counts as 1 term.
MI	LOWER_CHAMBER	Minimum Age	KNOWN	21 years	CONSTITUTION	Mich. Const. art. IV, § 7	1964-01-01	DIRECT	false	https://www.legislature.mi.gov/documents/mcl/pdf/mcl-Constitution-IV.pdf	Must be at least 21 years of age.
MI	LOWER_CHAMBER	Office Existence	KNOWN	true	CONSTITUTION	Mich. Const. art. IV, § 1, 3	1964-01-01	DIRECT	false	https://www.legislature.mi.gov/documents/mcl/pdf/mcl-Constitution-IV.pdf	110-member House of Representatives.
MI	LOWER_CHAMBER	Term Limit Rule	KNOWN	12_YEARS_COMBINED_LIFETIME	CONSTITUTION	Mich. Const. art. IV, § 54 (amended by Prop 22-1)	2023-01-01	DIRECT	false	https://www.legislature.mi.gov/documents/mcl/pdf/mcl-Constitution-IV.pdf	No person shall be elected for terms or partial terms combining to more than 12 years total in House and Senate combined. Pre-2023 grandfathering applies.
MN	ATTORNEY_GENERAL	Minimum Age	KNOWN	21 years	CONSTITUTION	Minn. Const. art. VII, § 6	1974-11-05	DIRECT	false	https://www.revisor.mn.gov/constitution/#article_7	General office eligibility: qualified voter and 21 years of age.
MN	GOVERNOR	Minimum Age	KNOWN	25 years	CONSTITUTION	Minn. Const. art. V, § 5	1974-11-05	DIRECT	false	https://www.revisor.mn.gov/constitution/#article_5	Must have attained the age of 25 years.
MN	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Minn. Const. art. V, § 1	1974-11-05	DIRECT	false	https://www.revisor.mn.gov/constitution/#article_5	Executive department consists of governor, lieutenant governor, secretary of state, auditor, attorney general.
MN	GOVERNOR	State Residence Duration	KNOWN	1 year	CONSTITUTION	Minn. Const. art. V, § 5	1974-11-05	DIRECT	false	https://www.revisor.mn.gov/constitution/#article_5	Bona fide resident of the state for one year next preceding election.
MN	LOWER_CHAMBER	District Residence Duration	KNOWN	6 months	CONSTITUTION	Minn. Const. art. IV, § 6	1974-11-05	DIRECT	false	https://www.revisor.mn.gov/constitution/#article_4	Resided six months immediately preceding election in the district (or 1 yr if newly partitioned).
MN	LOWER_CHAMBER	Minimum Age	KNOWN	21 years	CONSTITUTION	Minn. Const. art. VII, § 6; art. IV, § 6	1974-11-05	DIRECT	false	https://www.revisor.mn.gov/constitution/#article_7	Qualified voters who are 21 years of age.
MN	LOWER_CHAMBER	State Residence Duration	KNOWN	1 year	CONSTITUTION	Minn. Const. art. IV, § 6	1974-11-05	DIRECT	false	https://www.revisor.mn.gov/constitution/#article_4	Resided one year in the state next preceding election.
MN	UPPER_CHAMBER	Term Length	KNOWN	4_YEARS_WITH_2_YEAR_REDISTRICTING_EXCEPTION	CONSTITUTION	Minn. Const. art. IV, § 4	1974-11-05	DIRECT	false	https://www.revisor.mn.gov/constitution/#article_4	Term is four years, except an entire new election occurs at the first general election after each new apportionment (2-year term in years ending in 0/2).
MO	ATTORNEY_GENERAL	Professional Qualifications	KNOWN	LICENSED_ATTORNEY_IN_MISSOURI	STATUTE` / `COMMON_LAW	RSMo 27.010, 484.150	1945-02-27	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=27.010	Must be an attorney licensed to practice law in Missouri (devotes full time to office, represents state in Supreme Court).
MO	GOVERNOR	Minimum Age	KNOWN	30 years	CONSTITUTION	Mo. Const. art. IV, § 3	1945-02-27	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=IV+++3	Shall be at least thirty years old.
MO	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Mo. Const. 1945, art. IV, § 1	1945-02-27	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=IV+++1	Supreme executive power.
MO	GOVERNOR	State Residence Duration	KNOWN	10 years	CONSTITUTION	Mo. Const. art. IV, § 3	1945-02-27	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=IV+++3	Resident of this state at least ten years next before election.
MO	GOVERNOR	Term Limit Rule	KNOWN	2_TERMS_LIFETIME	CONSTITUTION	Mo. Const. art. IV, § 17	1965-08-17	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=IV+++17	No person shall be elected governor more than twice. Succeeded >2 years counts as 1 term.
MO	GOVERNOR	U.S. Citizenship Duration	KNOWN	15 years	CONSTITUTION	Mo. Const. art. IV, § 3	1945-02-27	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=IV+++3	Citizen of the United States for at least fifteen years.
MO	LIEUTENANT_GOVERNOR	Term Limit Rule	NO_REQUIREMENT_FOUND	NO_TERM_LIMIT	CONSTITUTION	Mo. Const. art. IV, § 17	1965-08-17	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=IV+++17	Section 17 term limits specify only Governor and Treasurer; Lt. Governor has no term limit.
MO	LOWER_CHAMBER	Minimum Age	KNOWN	24 years	CONSTITUTION	Mo. Const. art. III, § 4	1945-02-27	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=III+++4	Each representative shall be twenty-four years of age.
MO	LOWER_CHAMBER	Office Existence	KNOWN	true	CONSTITUTION	Mo. Const. art. III, § 2	1945-02-27	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=III+++2	163-member House of Representatives.
MO	LOWER_CHAMBER	Term Limit Rule	KNOWN	8_YEARS_CHAMBER_16_YEARS_TOTAL	CONSTITUTION	Mo. Const. art. III, § 8	1992-11-03	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=III+++8	Maximum eight years in House, and maximum sixteen years total in both houses combined.
MO	UPPER_CHAMBER	Minimum Age	KNOWN	30 years	CONSTITUTION	Mo. Const. art. III, § 6	1945-02-27	DIRECT	false	https://revisor.mo.gov/main/OneSection.aspx?section=III+++6	Each senator shall be thirty years of age.
MS	ATTORNEY_GENERAL	Minimum Age	KNOWN	26 years	CONSTITUTION	Miss. Const. art. VI, § 173, 154	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	Qualifications same as required for circuit court judge under Section 154 (at least 26 years of age).
MS	ATTORNEY_GENERAL	Office Existence	KNOWN	true	CONSTITUTION	Miss. Const. art. VI, § 173	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	Constitutional legal officer.
MS	ATTORNEY_GENERAL	Professional Qualifications	KNOWN	PRACTICING_LAWYER_5_YEARS	CONSTITUTION	Miss. Const. art. VI, § 154, 173	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	Practicing lawyer for five years immediately preceding election.
MS	GOVERNOR	Minimum Age	KNOWN	30 years	CONSTITUTION	Miss. Const. art. V, § 117	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	Shall be at least thirty years of age.
MS	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Miss. Const. 1890, art. V, § 116	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	Chief executive authority.
MS	GOVERNOR	Selection Mechanism	KNOWN	ELECTED_GENERAL	CONSTITUTION	Miss. Const. art. V, § 140 (amended 2020)	2020-11-03	DIRECT	false	https://www.sos.ms.gov/	Statewide direct popular vote with runoff if no candidate achieves majority (amended Nov 2020 via Ballot Measure 2, eliminating historical House electoral-vote system).
MS	GOVERNOR	State Residence Duration	KNOWN	5 years	CONSTITUTION	Miss. Const. art. V, § 117	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	Resident of the state five years next preceding election day.
MS	GOVERNOR	Term Limit Rule	KNOWN	2_TERMS_LIFETIME	CONSTITUTION	Miss. Const. art. V, § 116 (amended 1986)	1986-11-04	DIRECT	false	http://www.legislature.ms.gov/	May not be elected more than once after serving a term or >2 years of a predecessor term (maximum two lifetime terms).
MS	GOVERNOR	U.S. Citizenship Duration	KNOWN	20 years	CONSTITUTION	Miss. Const. art. V, § 117	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	Citizen of the United States twenty years.
MS	LOWER_CHAMBER	Minimum Age	KNOWN	21 years	CONSTITUTION	Miss. Const. art. IV, § 41	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	Attained the age of twenty-one years.
MS	LOWER_CHAMBER	Term Length	KNOWN	4 years	CONSTITUTION	Miss. Const. art. IV, § 34	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	Four-year term (Mississippi is one of four states with 4-year lower chamber terms).
MS	SECRETARY_OF_STATE	Minimum Age	KNOWN	25 years	CONSTITUTION	Miss. Const. art. V, § 133	1890-11-01	DIRECT	false	http://www.legislature.ms.gov/	At least twenty-five years of age.
MT	ATTORNEY_GENERAL	Professional Qualifications	KNOWN	ADMITTED_BAR_5_YEARS_ACTIVE_PRACTICE	CONSTITUTION	Mont. Const. art. VI, § 3	1973-07-01	DIRECT	false	https://leg.mt.gov/bills/mca/title_0000/chapters_index.html	Attorney in good standing admitted to practice in Montana with at least five years active practice before election.
MT	GOVERNOR	Minimum Age	KNOWN	25 years	CONSTITUTION	Mont. Const. art. VI, § 3	1973-07-01	DIRECT	false	https://leg.mt.gov/bills/mca/title_0000/chapters_index.html	Twenty-five years of age or older at time of election.
MT	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Mont. Const. 1972, art. VI, § 1	1973-07-01	DIRECT	false	https://leg.mt.gov/bills/mca/title_0000/chapters_index.html	Executive power vested in Governor.
MT	GOVERNOR	Term Limit Rule	KNOWN	8_YEARS_IN_16_YEAR_PERIOD	CONSTITUTION	Mont. Const. art. IV, § 8	1993-01-01	DIRECT	false	https://leg.mt.gov/bills/mca/title_0000/chapters_index.html	No person who has served eight or more years in a 16-year period shall be eligible for reelection.
MT	LOWER_CHAMBER	State Residence Duration	KNOWN	1 year	CONSTITUTION	Mont. Const. art. V, § 4	1973-07-01	DIRECT	false	https://leg.mt.gov/bills/mca/title_0000/chapters_index.html	Resident of the state for at least one year next preceding general election.
NE	ATTORNEY_GENERAL	State Residence Duration	KNOWN	REGISTERED_VOTER_AT_FILING	STATUTE	Neb. Rev. Stat. § 32-602	1994-01-01	DIRECT	false	https://sos.nebraska.gov/elections/candidate-information	Must be a registered voter of the state at the time of filing nomination papers.
NE	GOVERNOR	Minimum Age	KNOWN	30 years	CONSTITUTION	Neb. Const. art. IV, § 2	1875-11-01	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=IV-2	Attained the age of thirty years.
NE	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Neb. Const. art. IV, § 1	1875-11-01	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=IV-1	Supreme executive authority.
NE	GOVERNOR	State Residence Duration	KNOWN	5 years	CONSTITUTION	Neb. Const. art. IV, § 2	1875-11-01	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=IV-2	Resident and citizen of this state for five years next preceding election.
NE	GOVERNOR	Term Limit Rule	KNOWN	2_CONSECUTIVE_TERMS	CONSTITUTION	Neb. Const. art. IV, § 1	1966-11-08	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=IV-1	Eligible for not more than two consecutive terms (may run again after intervening term).
NE	LIEUTENANT_GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	Neb. Const. art. IV, § 1	1875-11-01	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=IV-1	Constitutional executive officer. (Directly rebuts PR #72 false nonexistence assertion).
NE	LOWER_CHAMBER	Office Existence	OFFICE_DOES_NOT_EXIST	null	CONSTITUTION	Neb. Const. art. III, § 1	1937-01-01	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=III-1	Bicameral House abolished in 1934 constitutional amendment; single chamber established.
NE	NEBRASKA_UNICAMERAL	District Residence Duration	KNOWN	1 year	CONSTITUTION	Neb. Const. art. III, § 8	1972-11-07	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=III-8	Resided within the district from which elected for one year next before election. Removal vacates seat.
NE	NEBRASKA_UNICAMERAL	Minimum Age	KNOWN	21 years	CONSTITUTION	Neb. Const. art. III, § 8	1972-11-07	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=III-8	Attained the age of twenty-one years on election date.
NE	NEBRASKA_UNICAMERAL	Office Existence	KNOWN	true	CONSTITUTION	Neb. Const. art. III, § 1	1937-01-01	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=III-1	Legislature of one chamber consisting of 49 members (Senators).
NE	NEBRASKA_UNICAMERAL	Selection Mechanism	KNOWN	ELECTED_NONPARTISAN	CONSTITUTION	Neb. Const. art. III, § 7	1937-01-01	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=III-7	Nominated and elected on nonpartisan ballot without party affiliation designation.
NE	NEBRASKA_UNICAMERAL	Term Length	KNOWN	4 years	CONSTITUTION	Neb. Const. art. III, § 7	1937-01-01	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=III-7	Four-year term; half elected every two years.
NE	NEBRASKA_UNICAMERAL	Term Limit Rule	KNOWN	2_CONSECUTIVE_TERMS	CONSTITUTION	Neb. Const. art. III, § 12	2000-11-07	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=III-12	Ineligible to serve more than two consecutive terms (may run again after 4 years out of office).
NE	UPPER_CHAMBER	Office Existence	OFFICE_DOES_NOT_EXIST	null	CONSTITUTION	Neb. Const. art. III, § 1	1937-01-01	DIRECT	false	https://nebraskalegislature.gov/laws/articles.php?article=III-1	Bicameral Senate abolished in 1934; replaced with Unicameral.
NH	ATTORNEY_GENERAL	Professional Qualifications	KNOWN	ADMITTED_TO_NEW_HAMPSHIRE_BAR	STATUTE` / `COMMON_LAW	RSA 7:1; SJC rules	1979-01-01	DIRECT	false	https://www.gencourt.state.nh.us/rsa/html/I/7/7-1.htm	Member of the New Hampshire Bar in good standing.
NH	ATTORNEY_GENERAL	Selection Mechanism	KNOWN	APPOINTED_GOVERNOR_COUNCIL	CONSTITUTION	N.H. Const. pt. II, art. 46; RSA 7:1	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/constitution/	Nominated and appointed by the Governor and Executive Council (NOT Governor alone; NOT popular election).
NH	ATTORNEY_GENERAL	Term Length	KNOWN	4 years	STATUTE	RSA 7:1	1979-01-01	DIRECT	false	https://www.gencourt.state.nh.us/rsa/html/I/7/7-1.htm	Appointed for a term of 4 years from the date of appointment and until successor qualified.
NH	GOVERNOR	Elector Requirement	KNOWN	QUALIFIED_VOTER	STATUTE	RSA 655:5	1979-01-01	DIRECT	false	https://www.gencourt.state.nh.us/rsa/html/LXIII/655/655-5.htm	Registered voter and domiciled in New Hampshire.
NH	GOVERNOR	Minimum Age	KNOWN	30 years	CONSTITUTION	N.H. Const. pt. II, art. 42; RSA 655:5	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/constitution/	Shall have attained the age of thirty years.
NH	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	N.H. Const. pt. II, art. 41	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/constitution/	Supreme executive magistrate styled His Excellency the Governor.
NH	GOVERNOR	State Residence Duration	KNOWN	7 years	CONSTITUTION	N.H. Const. pt. II, art. 42; RSA 655:5	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/constitution/	Inhabitant of this state for seven years immediately preceding election.
NH	LIEUTENANT_GOVERNOR	Office Existence	OFFICE_DOES_NOT_EXIST	null	CONSTITUTION	N.H. Const. pt. II, art. 49	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/constitution/	New Hampshire has NO Lieutenant Governor. President of Senate acts as Governor upon vacancy.
NH	LOWER_CHAMBER	State Residence Duration	KNOWN	2 years	CONSTITUTION	N.H. Const. pt. II, art. 14; RSA 655:5	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/constitution/	Inhabitant of the state for two years at least immediately preceding election.
NH	SECRETARY_OF_STATE	Selection Mechanism	KNOWN	ELECTED_LEGISLATURE	CONSTITUTION	N.H. Const. pt. II, art. 67; RSA 5:1	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/constitution/	Chosen biennially by joint ballot of the Senators and Representatives assembled in one room (NOT popular election).
NH	SECRETARY_OF_STATE	Term Length	KNOWN	2 years	STATUTE	N.H. Const. pt. II, art. 67; RSA 5:1	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/rsa/html/I/5/5-1.htm	Chosen biennially (two-year term). (Rebuts PR #72 assertion of 4-year term).
NH	UPPER_CHAMBER	Minimum Age	KNOWN	30 years	CONSTITUTION	N.H. Const. pt. II, art. 29; RSA 655:5	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/constitution/	Shall have attained the age of thirty years.
NH	UPPER_CHAMBER	State Residence Duration	KNOWN	7 years	CONSTITUTION	N.H. Const. pt. II, art. 29; RSA 655:5	1784-06-02	DIRECT	false	https://www.gencourt.state.nh.us/constitution/	Inhabitant of this state for seven years immediately preceding election.
NJ	ATTORNEY_GENERAL	Office Existence	KNOWN	true	CONSTITUTION	N.J. Const. art. V, § IV, ¶ 1, 3	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Head of Department of Law and Public Safety.
NJ	ATTORNEY_GENERAL	Professional Qualifications	KNOWN	ADMITTED_TO_NEW_JERSEY_BAR	STATUTE` / `COMMON_LAW	N.J.S.A. 52:17B-2	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/	Licensed attorney admitted to practice law in New Jersey.
NJ	ATTORNEY_GENERAL	Selection Mechanism	KNOWN	APPOINTED_GOVERNOR_SENATE	CONSTITUTION	N.J. Const. art. V, § IV, ¶ 3	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Nominated and appointed by the Governor with the advice and consent of the Senate (NOT popular election).
NJ	ATTORNEY_GENERAL	Term Length	KNOWN	DURING_TERM_OF_GOVERNOR	CONSTITUTION	N.J. Const. art. V, § IV, ¶ 3	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Serves during the term of office of the Governor (co-terminous, NOT fixed independent 4 years).
NJ	GOVERNOR	Minimum Age	KNOWN	30 years	CONSTITUTION	N.J. Const. art. V, § I, ¶ 2	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Shall have attained the age of thirty years.
NJ	GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	N.J. Const. 1947, art. V, § I, ¶ 1	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Executive power vested in a Governor.
NJ	GOVERNOR	State Residence Duration	KNOWN	7 years	CONSTITUTION	N.J. Const. art. V, § I, ¶ 2	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Resident of this State seven years next before election.
NJ	GOVERNOR	Term Limit Rule	KNOWN	2_CONSECUTIVE_TERMS	CONSTITUTION	N.J. Const. art. V, § I, ¶ 5	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Ineligible after two successive terms until the third year following expiration of second term.
NJ	GOVERNOR	U.S. Citizenship Duration	KNOWN	20 years	CONSTITUTION	N.J. Const. art. V, § I, ¶ 2	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Have been twenty years a citizen of the United States.
NJ	LIEUTENANT_GOVERNOR	Office Existence	KNOWN	true	CONSTITUTION	N.J. Const. art. V, § I, ¶ 4 (amended 2005)	2006-01-17	DIRECT	false	https://www.njleg.state.nj.us/constitution	Established by amendment approved Nov 2005, first elected Nov 2009.
NJ	LOWER_CHAMBER	Minimum Age	KNOWN	21 years	CONSTITUTION	N.J. Const. art. IV, § I, ¶ 2	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Shall have attained the age of twenty-one years.
NJ	LOWER_CHAMBER	Office Existence	KNOWN	true	CONSTITUTION	N.J. Const. art. IV, § I, ¶ 1; § II, ¶ 3	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	80-member General Assembly (two per legislative district).
NJ	LOWER_CHAMBER	State Residence Duration	KNOWN	2 years	CONSTITUTION	N.J. Const. art. IV, § I, ¶ 2	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Citizen and resident of the State for two years next before election.
NJ	SECRETARY_OF_STATE	Selection Mechanism	KNOWN	APPOINTED_GOVERNOR_SENATE_OR_LT_GOV	CONSTITUTION	N.J. Const. art. V, § IV, ¶ 3; art. V, § I, ¶ 4	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Nominated and appointed by Governor with advice and consent of Senate, OR Lt. Governor appointed without Senate confirmation.
NJ	UPPER_CHAMBER	Minimum Age	KNOWN	30 years	CONSTITUTION	N.J. Const. art. IV, § I, ¶ 2	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Shall have attained the age of thirty years.
NJ	UPPER_CHAMBER	State Residence Duration	KNOWN	4 years	CONSTITUTION	N.J. Const. art. IV, § I, ¶ 2	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Citizen and resident of the State for four years next before election.
NJ	UPPER_CHAMBER	Term Length	KNOWN	2_4_4_CYCLE	CONSTITUTION	N.J. Const. art. IV, § II, ¶ 2	1948-01-01	DIRECT	false	https://www.njleg.state.nj.us/constitution	Elected for term of four years, except the term beginning in second year after federal census shall be two years (a 2-year term followed by two 4-year terms per decade).
NV	ATTORNEY_GENERAL	Minimum Age	KNOWN	30 years	STATUTE	NRS 228.010 (amended 2021)	2021-10-01	DIRECT	false	https://www.leg.state.nv.us/NRS/NRS-228.html#NRS228Sec010	Attained age of 30 years at time of election (amended by 2021 AB 403, increased from 25).
NV	ATTORNEY_GENERAL	Professional Qualifications	KNOWN	MEMBER_STATE_BAR_OF_NEVADA	STATUTE	NRS 228.010	2021-10-01	DIRECT	false	https://www.leg.state.nv.us/NRS/NRS-228.html#NRS228Sec010	Member of the State Bar of Nevada in good standing (added by 2021 AB 403).
NV	ATTORNEY_GENERAL	State Residence Duration	KNOWN	3 years	STATUTE	NRS 228.010	2021-10-01	DIRECT	false	https://www.leg.state.nv.us/NRS/NRS-228.html#NRS228Sec010	Citizen resident of Nevada for 3 years next preceding election (increased from 2 in 2021).
